Filename,Caption,Date,URL,Kind,Width,Height,Views,Likes,Comments,ID,Posts
1579292346749928304.jpg,Not long now until our Adult Summer Camp! Contact us to book tickets.,"Aug 11, 2017, 3:19:00 PM",https://www.instagram.com/p/BXqxgWchcNw/,Photo,1080,1080,,16,2,1.58E+18,1
1577145597113416176.jpg,Adults... reclaim your right to fun from Friday 8th to Sunday 10th September!,"Aug 8, 2017, 4:13:47 PM",https://www.instagram.com/p/BXjJZCDBDnw/,Photo,1080,864,,16,1,1.58E+18,1
1593685188276563891.jpg,Book before Oct 7 th for 10% off. Call us on 855.372.7238.,"Aug 31, 2017, 11:55:00 AM",https://www.instagram.com/p/BYd6DwrBq-z/,Photo,1080,1080,,15,0,1.59E+18,1
1329220578774881892.jpg,Ever want to walk on water? Now you can! Pre-book discounts available!  #waterwalkerz #clearcreekcounty #vistcolorado,"Aug 31, 2016, 2:31:02 PM",https://www.instagram.com/p/BJyVxLqBBZk/,Photo,1080,1080,,15,1,1.33E+18,1
1331584794467070796.jpg,"Thank you @skioutabounds for the donation.  Win this winter accessories package that includes a wax and edge, $125 total value! At our @leukemialymphomasociety fundraiser on September 24","Sep 3, 2016, 8:48:19 PM",https://www.instagram.com/p/BJ6vVDGhXNM/,Photo,1080,1080,,12,1,1.33E+18,1
1590742788272936736.jpg,Fall is coming!,"Aug 27, 2017, 10:28:59 AM",https://www.instagram.com/p/BYTdCNIBdcg/,Photo,1080,905,,11,2,1.59E+18,1
1565359442357647449.jpg,Good Morning from Lawson Adventure Park!,"Jul 23, 2017, 9:56:48 AM",https://www.instagram.com/p/BW5Rh6Dh_hZ/,Photo,1080,1080,,11,0,1.57E+18,1
1297992158925568745.jpg,Thank you #honesttea for keeping our guests & guides hydrated all weekend #refreshinglyhonest #honestkids #lawsonadventure,"Jul 19, 2016, 12:25:44 PM",https://www.instagram.com/p/BIDZP3SADrp/,Photo,1080,1080,,11,1,1.30E+18,1
1572605274257368988.jpg,Another beautiful day in the mountains,"Aug 2, 2017, 9:52:59 AM",https://www.instagram.com/p/BXTBCo4BCec/,Photo,1080,1080,,10,0,1.57E+18,1
1328321629327404912.jpg,Thank you @meierskis for the grassstick ski poles donation. We will  raffle these off on September 24 at @lawsonadventure  and all proceeds go to @leukemialymphomasociety,"Aug 30, 2016, 8:44:59 AM",https://www.instagram.com/p/BJvJXvvhy9w/,Photo,1080,1080,,10,0,1.33E+18,1
1474996339468549233.jpg,,"Mar 20, 2017, 5:41:27 PM",https://www.instagram.com/p/BR4PVsbBjxx/,Photo,1080,1080,,9,2,1.48E+18,1
1289340436439533627.jpg,New t-shirts just in! Thank you denver-based @inkloungedenver #inkloungedenver . We love to support CO local businesses!,"Jul 7, 2016, 1:56:19 PM",https://www.instagram.com/p/BHkqEu0hog7/,Photo,1080,1080,,9,1,1.29E+18,1
1282653950285663592.jpg,"#lawsonadventure  supports  CO Local businesses, #sweetwoodcattle, #pakems #bisondesigns #fourpointsbar #tamagear","Jun 28, 2016, 8:31:27 AM",https://www.instagram.com/p/BHM5vjUh01o/,Photo,1080,1080,,9,0,1.28E+18,1
1295000902318907131.jpg,Check out our weekend event on #lawsonadventure  facebook https://www.facebook.com/events/139391319824459/?ti=cl,"Jul 15, 2016, 9:22:39 AM",https://www.instagram.com/p/BH4xHWeh177/,Photo,1080,1080,,8,0,1.30E+18,1
1281907994493466024.jpg,Come check us out. Exit 234 on I-70!,"Jun 27, 2016, 7:49:23 AM",https://www.instagram.com/p/BHKQId2hDWo/,Photo,1080,1080,,8,0,1.28E+18,1
1574047474598038132.html,Not even 10am and we're adventuring on :),"Aug 4, 2017, 9:38:22 AM",https://www.instagram.com/p/BXYI9anBEp0/,Slides,1080,1080,,7,0,1.57E+18,1
1570653102829489560.html,We had a great time rafting today. Beautiful morning!,"Jul 30, 2017, 5:14:22 PM",https://www.instagram.com/p/BXMFKzjhE2Y/,Slides,480,480,,7,0,1.57E+18,1
1278337152014571355.jpg,"Fun times in the ZORB! @lawsonadventure, #lawsonadventure","Jun 22, 2016, 9:34:45 AM",https://www.instagram.com/p/BG9kN3pA1db/,Photo,1080,1257,,7,0,1.28E+18,1
1577805058958309395.jpg,Just one month until our Adult Summer Camp!,"Aug 9, 2017, 2:04:01 PM",https://www.instagram.com/p/BXlfVdwBjgT/,Photo,1080,1080,,6,3,1.58E+18,1
1474995502939872314.jpg,Look at our cabins! This is Miners. We have reduced our price to $179 this week!,"Mar 20, 2017, 5:39:47 PM",https://www.instagram.com/p/BR4PJhWB5w6/,Photo,1080,1080,,6,0,1.48E+18,1
1330508478137400461.jpg,Thank you @libertyskis for the donation. Win these 2017 jinx at our @leukemialymphomasociety fundraiser on September 24,"Sep 2, 2016, 9:09:52 AM",https://www.instagram.com/p/BJ26mlaBnyN/,Photo,1080,1351,,6,0,1.33E+18,1
1305135284576828011.jpg,Adventure awaits you!! 20% off all weekend long! @lawsonadventure,"Jul 29, 2016, 8:57:51 AM",https://www.instagram.com/p/BIcxaBdB7pr/,Photo,1080,1080,,6,0,1.31E+18,1
1274144443401983282.jpg,Staff uniforms for our park. WE ARE OPEN!,"Jun 16, 2016, 2:44:35 PM",https://www.instagram.com/p/BGuq57dg1Uy/,Photo,1080,1080,,6,0,1.27E+18,1
1294551810060923069.jpg,@lawsonadventure is now the newest member of @evergreenchamberofcommerceco,"Jul 14, 2016, 6:30:23 PM",https://www.instagram.com/p/BH3LAMuBTC9/,Photo,1080,1080,,4,0,1.29E+18,1
1273284763251332931.jpg,"A lil gurilla marketing during the @revelrockies marathon... Get ZORB'd @ lawsonadventurepark.com  Park Opens Tomorrow, June 16, 3pm","Jun 15, 2016, 10:16:33 AM",https://www.instagram.com/p/BGrnb77g1dD/,Photo,1080,1350,,4,0,1.27E+18,1
1272702297570498108.jpg,Come check out our new magnetic spider wall! Fun for all!,"Jun 14, 2016, 2:59:18 PM",https://www.instagram.com/p/BGpi_8fg1Y8/,Photo,1080,608,,4,0,1.27E+18,1
1295135415275614701.jpg,"Fastest ZORB wins a prize pack all weekend. Winner has choice of 3 different color shirts and 2 designs, your choice of a caribiner key chain too! And water bottle. Daily Winners!","Jul 15, 2016, 1:49:54 PM",https://www.instagram.com/p/BH5Psxbh_Ht/,Photo,1080,1080,,3,0,1.30E+18,1
1271829536341972736.jpg,Come check out our ropes course starting june 16. 50% off till june 22!,"Jun 13, 2016, 10:05:17 AM",https://www.instagram.com/p/BGmcjmQg1cA/,Photo,1080,1080,,3,0,1.27E+18,1
1297933629552619110.jpg,Funtimes on the via ferrata..,"Jul 19, 2016, 10:29:27 AM",https://www.instagram.com/p/BIDL8JjhG5m/,Photo,1080,1080,,2,0,1.30E+18,1
1268928291193182035.jpg,What will be rolling down this starting june 16th?,"Jun 9, 2016, 10:01:01 AM",https://www.instagram.com/p/BGcI47KA1dT/,Photo,1080,1080,,2,0,1.27E+18,1
1264668118970750722.jpg,Any idea what is coming to our park?,"Jun 3, 2016, 12:56:49 PM",https://www.instagram.com/p/BGNAPQmA1cC/,Photo,1080,1350,,2,0,1.26E+18,1
1269043865827103803.jpg,Stout and Wes checking out the park... we have a few old mining cabins in park that we are wanting to restore,"Jun 9, 2016, 1:50:39 PM",https://www.instagram.com/p/BGcjKwbA1Q7/,Photo,1080,809,,1,0,1.27E+18,1
1264200799224026887.jpg,Our new sign!,"Jun 2, 2016, 9:28:20 PM",https://www.instagram.com/p/BGLV-3Kg1cH/,Photo,1080,565,,0,0,1.26E+18,1
